segment,week,purchasesTotalYTD,itemsTotalYTD,dollarsTotalYTD,purchasesCoreYTD,itemsCoreYTD,dollarsCoreYTD,purchasesExtraYTD,itemsExtraYTD,dollarsExtraYTD,purchasesTotalWeek,itemsTotalWeek,dollarsTotalWeek,purchasesCoreWeek,itemsCoreWeek,dollarsCoreWeek,purchasesExtraWeek,itemsExtraWeek,dollarsExtraWeek
Total,1,26109,28865,453521,20667,21861,74062,2284,2534,7064,26109,28865,453521,20667,21861,74062,2284,2534,7064
Total,2,47730,57575,895117,39222,44519,155672,3656,4205,11552,26221,28711,441596,21467,22658,81611,1539,1672,4487
Total,3,67423,88390,1361676,57040,69724,253869,4594,5423,14967,28222,30815,466559,23827,25205,98196,1133,1218,3416
Total,4,83723,118197,1821943,72285,94667,356430,5177,6179,16893,27543,29807,460268,23666,24944,102560,724,757,1926
Total,5,102195,156497,2398449,90108,127702,494370,5752,6953,19546,34981,38300,576506,30927,33035,137940,724,774,2653
Total,6,128600,217467,3272528,116079,180911,684021,6162,7489,20866,53646,60971,874079,48173,53209,189651,519,536,1319
Total,7,135409,241478,3580363,122036,199542,736490,6359,7763,21607,22221,24011,307834,17769,18631,52469,266,275,743
Total,8,141881,267157,3925241,127897,220276,801744,6563,8044,22280,23776,25679,344878,19720,20734,65254,273,281,673
Total,9,148307,295076,4304998,133832,243166,876596,6750,8300,22915,25784,27919,379758,21710,22891,74853,248,256,635
Total,10,154190,322848,4688230,139260,265752,949506,6913,8528,23450,25609,27773,383232,21392,22586,72910,222,229,535
Total,11,159546,350509,5079126,144187,288140,1023046,7075,8756,23974,25479,27661,390895,21181,22388,73540,221,228,524
Total,12,164764,380207,5517894,149091,312667,1113470,7242,8996,24508,27293,29698,438767,23144,24528,90424,231,239,535
Total,13,170172,414559,6030194,154229,341384,1227466,7409,9232,25018,31244,34352,512301,26804,28717,113996,220,226,509
Total,14,176534,456543,6658795,160049,374957,1347446,7629,9536,25654,37221,41984,628602,30794,33573,119981,294,303,635
Total,15,179993,481861,7001325,163292,395209,1410379,7889,9917,26685,23433,25319,342530,19281,20252,62933,363,382,1032
Total,16,184186,514292,7456413,167406,422414,1506440,8267,10412,28130,29776,32431,455088,25628,27205,96061,478,495,1445
Total,17,189174,554528,8034881,172505,457361,1643997,8754,11039,29971,36784,40236,578468,32728,34947,137557,606,627,1841
Total,18,197598,620301,9040334,181475,515985,1857566,9824,12386,33783,58002,65773,1005453,53069,58624,213569,1278,1346,3812
Total,19,200629,649119,9414993,184469,539820,1926499,9992,12642,34394,26599,28818,374659,22534,23835,68933,248,257,611
Total,20,203504,679849,9812390,187366,565840,2006508,10080,12782,34767,28260,30731,397398,24494,26020,80009,137,140,374
Total,21,206237,711012,10228673,190124,592310,2091524,10166,12918,35075,28662,31163,416283,24913,26470,85017,133,136,307
Total,22,208733,742387,10655113,192662,619166,2181233,10250,13043,35396,28914,31375,426440,25309,26856,89709,123,125,321
Total,23,211334,776741,11122142,195329,648575,2277013,10337,13172,35735,31391,34355,467031,27538,29409,95780,127,130,338
Total,24,215033,825795,11752497,199350,692434,2418863,10445,13335,36135,44240,49054,630356,40443,43859,141850,160,163,401
Total,25,216881,852233,12083401,201160,714115,2475462,10541,13480,36537,24346,26438,330905,20487,21680,56600,140,144,402
Total,26,218480,878306,12417218,202699,735481,2536654,10660,13659,37007,24075,26071,333818,20257,21366,61192,174,179,470
Total,27,220176,906251,13254596,204091,755910,2594487,13738,18033,76580,25347,27946,837379,19435,20429,57833,4100,4374,39573
Total,28,221809,933929,13792939,205488,776706,2651343,15988,21441,92709,25205,27678,538343,19715,20796,56857,3181,3407,16129
Total,29,223282,959247,14163734,206816,796553,2704740,17058,23048,97112,23304,25318,370796,18839,19847,53397,1554,1608,4403
Total,30,224726,986544,14551421,208141,818299,2767874,18124,24691,101235,25144,27298,387689,20628,21745,63134,1593,1643,4123
Total,31,226202,1015862,14962407,209518,841959,2839950,19165,26357,105105,26945,29318,410987,22416,23660,72076,1616,1666,3870
